MacroPlot Name,Monitoring Status,Unit #,Date,TagNo,Status,DBH (cm),DBH (in),>24in,Ht (m),Ht (ft),CrwnRto,CrwnCl,LiCrBHt (m),LiCrBHt (ft),CrFuBHt,CrwnRad (m),CrwnRad (ft),DecayCl,CharHt (m),CharHt (ft),ScorchHt (m),ScorchHt (ft),Crown Scorch %,Comment,Fuel Depth at Base (cm),Fuel Depth at Base (in),Fuel Depth at 1m (cm),Fuel Depth at 1m (in),Crown Torch %,Health Category (1-5),MacroPlotSize,SnagPlotSize,BrkPntDia,SaComment,Species Symbol
 Plot051,PostBurnYear1,86,6/17/21 9:30,438,L,46.5,18.3070965,no,7,22.96588,68.6,C,2.2,7.217848,,2,6.56168,,0,0,0,0,0,,,,,,0,,,,,,PIJE
 Plot051,PostBurnYear1,86,6/17/21 9:30,439,L,31.35,12.34252635,no,8.4,27.559056,76.2,C,2,6.56168,,1.95,6.397638,,0.7,2.296588,2.4,7.874016,0.5,,,,,,0,,,,,,PIJE
 Plot051,PreBurnYear1,86,8/6/20 11:17,436,L,56.8,22.3622168,no,11.8,38.713912,59.3,C,4.8,15.748032,,6.1,20.013124,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot051,PreBurnYear1,86,8/6/20 11:17,437,L,20.85,8.20866585,no,3.8,12.467192,60.5,C,1.5,4.92126,,1,3.28084,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot051,PreBurnYear1,86,8/6/20 11:17,438,L,46.4,18.2677264,no,7.2,23.622048,72.2,C,2,6.56168,,1.5,4.92126,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot051,PreBurnYear1,86,8/6/20 11:17,439,L,31.1,12.2441011,no,8.8,28.871392,79.5,C,1.8,5.905512,,2,6.56168,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot053,PostBurnYear1,86,6/17/21 9:35,435,L,32.15,12.65748715,no,9.2,30.183728,67.4,C,3,9.84252,,1.5,4.92126,,1.8,5.905512,3.6,11.811024,2,,,,,,0,,,,,,PIJE
 Plot053,PostBurnYear1,86,6/17/21 9:35,431,L,58.1,22.8740281,no,19.4,63.648296,53.1,C,9.1,29.855644,,3,9.84252,,2.1,6.889764,9.2,30.183728,10,,,,,,0,,,,,,PIJE
 Plot053,PostBurnYear1,86,6/17/21 9:35,432,L,28.75,11.31890375,no,10.4,34.120736,36.5,I,6.6,21.653544,,1.3,4.265092,,3.8,12.467192,6.6,21.653544,70,,,,,,0,,,,,,PIJE
 Plot053,PostBurnYear1,86,6/17/21 9:35,433,L,39.8,15.6692998,no,11.4,37.401576,66.7,C,3.8,12.467192,,2.1,6.889764,,4.3,14.107612,7.6,24.934384,55,,,,,,0,,,,,,PIJE
 Plot053,PostBurnYear1,86,6/17/21 9:35,434,L,25.9,10.1968559,no,8.4,27.559056,82.1,C,1.5,4.92126,,1.5,4.92126,,0.9,2.952756,0,0,0,,,,,,0,,,,,,PIJE
 Plot053,PreBurnYear1,86,8/6/20 11:17,431,L,57.8,22.7559178,no,19.4,63.648296,75.3,C,4.8,15.748032,,5,16.4042,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot053,PreBurnYear1,86,8/6/20 11:17,432,L,28.6,11.2598486,no,9.6,31.496064,80.2,I,1.9,6.233596,,2.5,8.2021,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot053,PreBurnYear1,86,8/6/20 11:17,433,L,39.8,15.6692998,no,10.8,35.433072,86.1,I,1.5,4.92126,,3,9.84252,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot053,PreBurnYear1,86,8/6/20 11:17,434,L,25.8,10.1574858,no,8,26.24672,76.3,I,1.9,6.233596,,2.5,8.2021,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot053,PreBurnYear1,86,8/6/20 11:17,435,L,31.9,12.5590619,no,8.2,26.902888,79.3,I,1.7,5.577428,,2.25,7.38189,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot049,PostBurnYear1,86,6/17/21 9:19,417,L,72.7,28.6220627,yes,20.2,66.272968,88.1,C,2.4,7.874016,,4,13.12336,,0,0,4.6,15.091864,0.5,,,,,,0,,,,,,ABCO
 Plot049,PostBurnYear1,86,6/17/21 9:19,418,L,34.8,13.7007948,no,6.3,20.669292,46,I,3.4,11.154856,,1.95,6.397638,,3,9.84252,4.4,14.435696,50,,,,,,0,,,,,,ABCO
 Plot049,PostBurnYear1,86,6/17/21 9:19,419,D,78.8,31.0236388,yes,14.4,47.244096,,,,0,,,,5,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot049,PostBurnYear1,86,6/17/21 9:19,420,L,50.95,20.05906595,no,20.2,66.272968,91.1,C,1.8,5.905512,,3,9.84252,,0.1,0.328084,1.6,5.249344,0.5,,,,,,0,,,,,,ABCO
 Plot049,PostBurnYear1,86,6/17/21 9:19,421,L,71.9,28.3071019,yes,23.6,77.427824,63.6,C,8.6,28.215224,,3.45,11.318898,,0.35,1.148294,0,0,0,,,,,,0,,,,,,ABCO
 Plot049,PostBurnYear1,86,6/17/21 9:19,422,D,98.95,38.95671395,yes,8,26.24672,,,,0,,,,2,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot049,PostBurnYear1,86,6/17/21 9:19,423,D,33.3,13.1102433,no,2.6,8.530184,,,,0,,,,5,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot049,PostBurnYear1,86,6/17/21 9:19,424,L,74.8,29.4488348,yes,25,82.021,39.2,C,15.2,49.868768,,2.45,8.038058,,4.2,13.779528,0,0,0,,,,,,0,,,,,,PIJE
 Plot049,PostBurnYear1,86,6/17/21 9:19,425,D,46.6,18.3464666,no,16.2,53.149608,,,,0,,,,1,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot049,PostBurnYear1,86,6/17/21 9:19,426,L,40,15.74804,no,16.6,54.461944,66.9,I,5.5,18.04462,,6.5,21.32546,,3.9,12.795276,5.2,17.060368,30,,,,,,0,,,,,,ABCO
 Plot049,PreBurnYear1,86,8/6/20 11:17,417,L,72.7,28.6220627,yes,20.2,66.272968,77.2,C,4.6,15.091864,,3.25,10.66273,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot049,PreBurnYear1,86,8/6/20 11:17,418,L,34.7,13.6614247,no,7.8,25.590552,76.9,I,1.8,5.905512,,2.4,7.874016,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot049,PreBurnYear1,86,8/6/20 11:17,419,D,110.5,43.5039605,yes,15.8,51.837272,,,,0,,,,2,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot049,PreBurnYear1,86,8/6/20 11:17,420,L,50.9,20.0393809,no,19,62.33596,73.7,C,5,16.4042,,3,9.84252,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot049,PreBurnYear1,86,8/6/20 11:17,421,L,72.6,28.5826926,yes,22.4,73.490816,63.4,C,8.2,26.902888,,3.6,11.811024,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot049,PreBurnYear1,86,8/6/20 11:17,422,D,99,38.976399,yes,8.2,26.902888,,,,0,,,,2,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot049,PreBurnYear1,86,8/6/20 11:17,423,D,72.9,28.7008029,yes,21.2,69.553808,,,,0,,,,1,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot049,PreBurnYear1,86,8/6/20 11:17,424,L,76.7,30.1968667,yes,24,78.74016,34.2,C,15.8,51.837272,,4,13.12336,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot049,PreBurnYear1,86,8/6/20 11:17,425,D,44.8,17.6378048,no,15.2,49.868768,,,,0,,,,1,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot049,PreBurnYear1,86,8/6/20 11:17,426,L,38.3,15.0787483,no,15.8,51.837272,84.2,I,2.5,8.2021,,1.9,6.233596,,,0,,0,0,,,,,,0,,,,,,ABCO
