Site_Year,Plot ID,Treatment Unit,Easting,Northing, Cover (%),,,,,Tree Density (trees per acre),,,,,,Basal Area (ft2 per acre),,,,,,,,,,, Fuel Loading (tons per acre),,,,,,Fuel Height (in),,,,Distance to crown (ft) 
,,,,,TREE,SHRUB,HERB,CHEATGRASS,Total Exotic Grass,"Live Conifer (>3""dbh)","Live Hardwood (>3""dbh)",Snag,Sapling,Seedling,Dead Conifer (by DBH),Dead Conifer BAF,Dead Hardwood (by DBH),Dead Hardwood BAF,"Cedar, LIVE","Pinus spp, LIVE",Live Conifer (by DBH),Live Conifer BAF,Live Hardwood (by DBH),Live Hardwood BAF,Total Live Tree (by DBH),Total live BAF,"Fine Fuels (1, 10, 100 hr)",1hr ,10hr,100hr,CWD,Total,Duff,Litter,Duff/Litter,Fuel ,
Laguna_2017,81,35,554174,3634478,50,1,2,1,1,10,140,100,0,140,2.93,0,28.07198528,20,0,25,41.42842493,25,55.77897769,65,97.20740262,90,1.187,0.055,0.286,0.846,5.655,6.842,0.25,0.57,0.81,1.64,20.87
Laguna_2017,82,35,554110,3634219,22.5,1,65,1,3,50,20,10,0,0,4.95,15,0,5,0,80,57.06199064,80,16.38823943,40,73.45023007,120,0.733,0.036,0.696,0.000,21.614,22.347,0.20,0.74,0.94,1.35,23.25
Laguna_2017,83,35,553896,3634152,59.5,1,15,3,3,60,100,20,0,280,0.00,0,10.77553332,20,0,160,142.6650378,160,83.21499437,90,225.8800322,250,2.824,0.109,1.326,1.389,23.617,26.441,0.69,1.55,2.24,3.10,12.38
Laguna_2017,85,35,554034,3633925,31,2,62,,0,70,0,20,0,0,0.80,0,0,40,0,200,163.0042807,200,0,0,163.0042807,200,4.353,0.047,1.812,2.494,0.644,4.997,0.47,1.03,1.50,2.58,34.50
Laguna_2017,88,7,552435,3638859,35,6,10,1,1,20,40,10,280,1680,0.00,0,2.618952838,10,0,30,27.64189059,30,87.88490789,80,115.5267985,110,1.999,0.137,0.426,1.436,1.360,3.359,0.47,0.84,1.30,2.17,12.08
Laguna_2017,89,7,552741,3638704,33,1,15,7,7,110,0,0,0,0,0.00,0,0,0,0,55,69.42778365,55,0,0,69.42778365,55,2.378,0.080,1.187,1.111,0.331,2.709,0.10,0.63,0.73,1.78,7.93
Laguna_2017,90,7,552544,3638548,27,2,13,1,1,40,0,0,0,140,0.00,0,0,0,0,45,71.4779834,45,0,5,71.4779834,50,4.985,0.157,1.478,3.350,7.681,12.666,0.89,2.09,2.98,3.36,16.32
Laguna_2017,91,7,552815,3638447,40.5,1.5,29,4,8,40,70,0,0,210,0.00,0,0,0,0,30,80.20534612,30,19.41640364,25,99.62174977,55,3.962,0.187,2.104,1.671,0.000,3.962,0.57,1.50,2.07,3.02,12.14
Laguna_2017,92,7,552663,3638203,35,2.5,36,15,18,100,90,10,0,0,0.00,0,1.450924898,0,0,85,27.15337337,85,76.65552194,15,103.8088953,100,2.478,0.117,0.976,1.385,0.000,2.478,0.37,1.13,1.50,2.47,8.55
Laguna_2017,93,7,552925,3638214,34.5,12.5,50.5,48,48,30,10,0,0,0,0.00,0,0,0,0,100,63.6802238,100,32.9208865,15,96.6011103,115,0.712,0.081,0.354,0.277,18.073,18.784,0.15,1.08,1.23,2.78,18.62
