FOREST,RANGER DISTRICT,Site_Year,Plot ID,Plot Size (acres),Treatment Unit,Easting,Northing, Cover (%) Live,,,,Tree Density (trees per acre),,,,,Basal Area (ft2 per acre),,,,,,,,,,Fuels (tons per acre),,,,,Fuel Height (in.),,Distance to crown (ft) 
,,,,,,,,TREE,SHRUB,HERB,BROMUS SP.,"Live Conifer (>3""dbh)","Live Hardwood (>3""dbh)",Snag ,Sapling,Seedling,Dead Conifer (by DBH),Dead Conifer BAF,Dead Hardwood (by DBH),Dead Hardwood BAF,Live Conifer (by DBH),Live Conifer BAF,Live Hardwood (by DBH),Live Hardwood BAF,Total Live Tree (by DBH),Total live BAF,1hr ,10hr,100hr,CWD,Total,Duff/Litter,Fuel ,
San Bernarndino,,BluffMesa_2020,61,1//10,East Lake,503209,3786842,50.5,8.5,1,0,151.76,0.00,50.59,0.00,69.77,7.57,90,0.0,0,396.31,300,0,0,396.3,300,0.21,1.95,3.60,37.03,42.78,4.4,4.517718975,26.44
San Bernarndino,,BluffMesa_2020,62,1//10,East Lake,503530,3786688,24,12.5,1.5,0,80.94,0.00,10.12,0.00,0.00,5.18,30,0.0,0,240.66,290,0,0,240.7,290,0.12,1.67,0.55,7.69,10.03,3.0,2.987206338,29.24
San Bernarndino,,BluffMesa_2020,63,1//10,East Lake,503506,3786576,61.5,3.5,1,0,91.06,0.00,0.00,0.00,0.00,0.00,30,0.0,0,474.54,310,0,0,474.5,310,0.15,2.30,1.38,0.00,3.83,4.7,3.83858475,20.52
San Bernarndino,,BluffMesa_2020,64,1//10,East Lake,503647,3786392,8.5,14,3,0,30.35,0.00,0.00,0.00,69.77,0.00,20,0.0,0,18.77,90,0,0,18.8,90,0.30,2.31,1.11,141.50,145.22,2.0,2.682088063,5.80
San Bernarndino,,BluffMesa_2020,65,1//10,East Lake,503398,3786300,95,0,1,0,70.82,0.00,0.00,0.00,0.00,0.00,20,0.0,0,816.55,240,0,0,816.5,240,0.68,1.74,0.55,40.12,43.10,5.6,3.233269463,27.37
San Bernarndino,,BluffMesa_2021,24,1//10,Unit H,502045,3786845,24.5,1.5,0.5,0,80.94,0.00,0.00,0.00,0.00,N/A,0.0,0.0,0,164.14,120,0,0,164.14,120,0.06,0.91,0.00,0.00,0.97,1.0,0.5821853538,15.58
San Bernarndino,,BluffMesa_2021,25,1//10,Unit H,502018,3786660,9.5,0,1,0,30.35,0.00,10.12,0.00,697.73,N/A,10,0.0,0,41.83,90,0,0,41.83,90,0.01,0.64,0.00,2.22,2.88,0.5,0.7298232288,12.58
San Bernarndino,,BluffMesa_2021,26,1//10,Unit H,502155,3786746,5.5,6.5,0.5,0,20.23,0.00,10.12,0.00,69.77,N/A,30,0.0,0,48.63,30,0,0,48.63,30,0.01,1.53,1.14,3.83,6.51,1.3,0.89370127,6.56
San Bernarndino,,BluffMesa_2021,27,1//10,Unit H,502360,3786721,35.5,0.5,1,0,30.35,0.00,0.00,69.77,0.00,N/A,20,0.0,0,145.72,140,0,0,145.72,140,0.17,3.84,1.39,2.58,7.97,1.2,0.8612209375,41.34
San Bernarndino,,BluffMesa_2021,33,1//10,Unit H,502518,3786610,29,1.5,1,0,40.47,0.00,0.00,0.00,0.00,N/A,20,0.0,0,169.35,100,0,0,169.35,100,0.02,1.95,1.67,11.34,14.97,0.5,0.4758860838,46.18
San Bernarndino,,BluffMesa_2021,48,1//10,Unit 86,502663,3787038,6,1,1,0,30.35,0.00,30.35,0.00,69.77,N/A,30,0.0,0,24.02,90,0,0,24.02,90,0.19,4.40,1.94,0.00,6.53,0.9,0.7549216675,19.79
San Bernarndino,,BluffMesa_2021,49,1//10,Unit 86,502600,3787201,9,0.5,1,0,60.70,0.00,40.47,0.00,0.00,N/A,40,0.0,0,183.52,110,0,0,183.52,110,0.28,9.47,1.11,2.33,13.19,0.4,0.7219492088,20.18
San Bernarndino,,BluffMesa_2021,50,1//10,Unit 86,502811,3787146,9,0.5,1,0,30.35,0.00,10.12,0.00,0.00,N/A,10,0.0,0,56.72,140,0,0,56.72,140,0.03,0.35,0.56,0.00,0.94,0.9,0.4758860838,17.06
San Bernarndino,,BluffMesa_2021,51,1//10,Unit 86,503248,3787101,6.5,7.5,3.5,0,40.47,0.00,0.00,0.00,0.00,N/A,0.0,0.0,0,58.33,80,0,0,58.33,80,0.01,0.00,0.28,0.41,0.70,0.5,0.6884846238,7.71
San Bernarndino,,BluffMesa_2021,52,1//10,Unit 86,503370,3786975,7,4.5,1,0,30.35,0.00,0.00,0.00,0.00,N/A,10,0.0,0,22.62,80,0,0,22.62,80,0.05,1.12,0.84,0.00,2.01,0.4,0.5004923963,3.99
San Bernarndino,,BluffMesa_2021,53,1//10,Unit 86,502980,3787237,30,0,1,0,50.59,0.00,0.00,0.00,0.00,N/A,0.0,0.0,0,64.07,70,0,0,64.07,70,0.06,3.14,1.11,0.76,5.08,1.0,1.000984793,15.75
San Bernarndino,,BluffMesa_2021,66,1//10,FAN,501392,3786700,23.5,12.5,1,0,70.82,0.00,10.12,0.00,0.00,N/A,20,0.0,0,84.60,120,0,0,84.60,120,0.21,1.85,2.82,160.86,165.73,3.1,3.525592455,9.89
San Bernarndino,,BluffMesa_2021,67,1//10,FAN,501575,3786629,36.5,31.5,1,0,50.59,0.00,0.00,0.00,0.00,N/A,0.0,0.0,0,155.47,80,0,0,155.47,80,0.09,1.22,0.28,55.01,56.61,2.0,4.265258209,20.08
San Bernarndino,,BluffMesa_2021,68,1//10,FAN,501352,3786444,29,30.5,1,0,40.47,0.00,0.00,0.00,0.00,N/A,20,0.0,0,98.49,80,0,0,98.49,80,0.14,1.67,0.00,0.00,1.81,2.7,2.64960773,12.47
San Bernarndino,,BluffMesa_2021,69,1//10,FAN,501042,3786579,37,23.5,0.5,0,80.94,0.00,0.00,0.00,0.00,N/A,0.0,0.0,0,204.36,100,0,0,204.36,100,0.36,3.87,3.97,42.60,50.80,3.1,2.55118248,10.13
San Bernarndino,,BluffMesa_2021,70,1//10,FAN,501347,3786784,17.5,0.5,0.5,0,80.94,0.00,10.12,0.00,0.00,N/A,10,0.0,0,156.21,160,0,0,156.21,160,0.32,12.94,9.17,10.67,33.09,3.9,2.74578326,14.44
San Bernarndino,,BluffMesa_2021,71,1//10,FAN,501263,3786628,14.5,21,0.5,0,30.35,0.00,0.00,0.00,0.00,N/A,0.0,0.0,0,53.34,100,0,0,53.34,100,0.07,2.18,1.96,24.32,28.54,3.0,2.312993375,8.31
San Bernarndino,,BluffMesa_2021,72,1//10,FAN,501149,3786481,7,46.5,0.5,0,30.35,0.00,10.12,0.00,0.00,N/A,10,0.0,0,16.58,50,0,0,16.58,50,0.11,1.64,0.00,24.53,26.29,1.7,3.182088333,4.59
San Bernarndino,,BluffMesa_2021,73,1//10,FAN,501493,3786783,35.5,6.5,1,0,40.47,0.00,0.00,0.00,209.32,N/A,20,0.0,0,112.11,100,0,0,112.11,100,0.07,3.98,6.67,7.67,18.38,3.1,2.74015896,19.85
San Bernarndino,,BluffMesa_2021,74,1//10,Dickies,509128,3787614,18.5,0.5,1,0,70.82,0.00,20.23,0.00,0.00,N/A,60,0.0,0,93.63,100,0,0,93.63,100,0.34,5.70,7.40,20.71,34.15,2.4,2.567914773,12.51
San Bernarndino,,BluffMesa_2021,75,1//10,Dickies,509219,3787504,32.5,0.5,0,0,141.64,0.00,0.00,0.00,0.00,N/A,10,0.0,0,115.73,90,0,0,115.73,90,2.67,75.07,1.94,28.82,108.50,6.0,4.067915583,14.48
San Bernarndino,,BluffMesa_2021,76,1//10,Dickies,509062,3787455,35,3.5,1,0,70.82,0.00,0.00,0.00,69.77,N/A,0.0,0.0,0,188.06,120,0,0,188.06,120,0.11,4.05,2.26,1.44,7.86,3.0,1.829233271,28.96
San Bernarndino,,BluffMesa_2021,77,1//10,Dickies,509156,3787377,35.5,17,1,0,50.59,0.00,10.12,0.00,69.77,N/A,10,0.0,0,212.41,140,0,0,212.41,140,0.39,4.10,1.41,4.53,10.42,4.0,2.665847896,26.44
San Bernarndino,,BluffMesa_2021,78,1//10,Dickies,508980,3787331,34.5,11,0.5,0,131.53,0.00,0.00,0.00,0.00,N/A,10,0.0,0,204.55,140,0,0,204.55,140,0.86,6.30,1.39,1.73,10.27,4.7,4.363191333,15.75
San Bernarndino,,BluffMesa_2021,79,1//10,Dickies,509113,3787224,40,0.5,0.5,0,50.59,0.00,0.00,0.00,0.00,N/A,0.0,0.0,0,255.16,220,0,0,255.16,220,0.00,0.44,2.01,0.00,2.45,4.4,2.509351749,54.07
San Bernarndino,,BluffMesa_2021,80,1//10,Dickies,509122,3787539,26.5,3,1,0,131.53,0.00,0.00,0.00,69.77,N/A,10,0.0,0,78.67,100,0,0,78.67,100,0.76,32.04,4.71,5.60,43.11,3.1,2.665847896,11.68
San Bernarndino,,BluffMesa_2022,82,1//10,Thinning,504036,3786592,23.5,36.5,0.5,0,60.70,0.00,0.00,10.12,209.32,N/A,0,0.0,0,135.50,130,0,0,135.50,130,0.31,3.22,0.28,45.95,49.77,2.4,N/A,11.59
San Bernarndino,,BluffMesa_2022,83,1//10,Thinning,504236,3786447,50,1,1.5,0,263.05,0.00,30.35,10.12,0.00,N/A,20,0.0,0,412.49,390,0,0,412.49,390,0.08,2.09,0.28,6.71,9.16,4.3,N/A,36.04
San Bernarndino,,BluffMesa_2022,84,1//10,Thinning,504150,3786264,44.5,6.5,0.5,0,323.76,0.00,0.00,30.35,0.00,N/A,10,0.0,0,303.24,540,0,0,303.24,540,0.06,1.89,1.12,27.04,30.11,3.0,N/A,15.96
San Bernarndino,,BluffMesa_2022,85,1//10,Thinning,503974,3786115,41,22.5,0.5,0,252.93,0.00,10.12,20.23,69.77,N/A,0,0.0,0,285.76,620,0,0,285.76,620,0.29,1.64,0.85,3.16,5.94,2.2,N/A,14.29
